player_name,match_id,date,position,minutes_played,passes_attempted,passes_completed,pass_accuracy,xG,xA,touches,progressive_passes,home_team,away_team,league,season,is_home
Oblak_Ars_0,Premier-League_2019-2020_1,2019-08-18,GK,71.0,20,18,67.1,0.13,0.004,50,5,Arsenal,Chelsea,Premier-League,2019-2020,1
Ramos_Ars_1,Premier-League_2019-2020_1,2019-08-18,DF,90.0,57,38,82.9,0.011,0.137,65,5,Arsenal,Chelsea,Premier-League,2019-2020,1
Marquinhos_Ars_2,Premier-League_2019-2020_1,2019-08-18,DF,85.0,51,41,87.2,0.005,0.08,70,3,Arsenal,Chelsea,Premier-League,2019-2020,1
Davies_Ars_3,Premier-League_2019-2020_1,2019-08-18,DF,61.0,29,22,81.0,0.027,0.069,48,2,Arsenal,Chelsea,Premier-League,2019-2020,1
Davies_Ars_4,Premier-League_2019-2020_1,2019-08-18,DF,90.0,44,41,89.4,0.026,0.046,79,13,Arsenal,Chelsea,Premier-League,2019-2020,1
Bellingham_Ars_5,Premier-League_2019-2020_1,2019-08-18,MF,76.0,44,39,85.0,0.238,0.137,68,7,Arsenal,Chelsea,Premier-League,2019-2020,1
Odegaard_Ars_6,Premier-League_2019-2020_1,2019-08-18,MF,55.0,37,27,89.4,0.062,0.207,39,4,Arsenal,Chelsea,Premier-League,2019-2020,1
De Bruyne_Ars_7,Premier-League_2019-2020_1,2019-08-18,MF,81.0,61,45,77.8,0.429,0.25,120,11,Arsenal,Chelsea,Premier-League,2019-2020,1
Son_Ars_8,Premier-League_2019-2020_1,2019-08-18,FW,90.0,34,28,82.8,0.088,0.025,53,5,Arsenal,Chelsea,Premier-League,2019-2020,1
Rashford_Ars_9,Premier-League_2019-2020_1,2019-08-18,FW,54.0,6,6,86.6,0.151,0.22,14,0,Arsenal,Chelsea,Premier-League,2019-2020,1
Griezmann_Ars_10,Premier-League_2019-2020_1,2019-08-18,FW,84.0,32,29,91.0,0.935,0.1,62,5,Arsenal,Chelsea,Premier-League,2019-2020,1
Rodri_Ars_11,Premier-League_2019-2020_1,2019-08-18,MF,32.0,11,11,89.1,0.263,0.032,21,2,Arsenal,Chelsea,Premier-League,2019-2020,1
Osimhen_Ars_12,Premier-League_2019-2020_1,2019-08-18,FW,24.0,5,4,83.0,0.133,0.702,9,0,Arsenal,Chelsea,Premier-League,2019-2020,1
Stones_Ars_13,Premier-League_2019-2020_1,2019-08-18,DF,15.0,5,4,81.3,0.044,0.073,7,0,Arsenal,Chelsea,Premier-League,2019-2020,1
Ederson_Che_0,Premier-League_2019-2020_1,2019-08-18,GK,72.0,15,18,89.7,0.02,0.046,31,2,Arsenal,Chelsea,Premier-League,2019-2020,0
Walker_Che_1,Premier-League_2019-2020_1,2019-08-18,DF,72.0,41,44,87.2,0.011,0.077,85,5,Arsenal,Chelsea,Premier-League,2019-2020,0
Van Dijk_Che_2,Premier-League_2019-2020_1,2019-08-18,DF,67.0,19,17,84.9,0.059,0.034,36,4,Arsenal,Chelsea,Premier-League,2019-2020,0
Hakimi_Che_3,Premier-League_2019-2020_1,2019-08-18,DF,73.0,27,23,79.9,0.024,0.066,58,0,Arsenal,Chelsea,Premier-League,2019-2020,0
