player_name,is_home,date,position,minutes_played,passes_completed,passes_attempted,pass_accuracy,progressive_passes,match_url,league
Anthony Gordon,1,2025-09-30,FW,44,83.3,12.0,0.0,2.0,https://fbref.com/en/matches/2c75d21a/Newcastle-United-Liverpool-August-25-2025-Premier-League,Premier-League
Harvey Barnes,1,2025-09-30,LW,76,80.0,15.0,100.0,3.0,https://fbref.com/en/matches/2c75d21a/Newcastle-United-Liverpool-August-25-2025-Premier-League,Premier-League
Anthony Elanga,1,2025-09-30,RW,90,38.5,26.0,28.6,0.0,https://fbref.com/en/matches/2c75d21a/Newcastle-United-Liverpool-August-25-2025-Premier-League,Premier-League
Joelinton,1,2025-09-30,LM,76,81.8,11.0,50.0,4.0,https://fbref.com/en/matches/2c75d21a/Newcastle-United-Liverpool-August-25-2025-Premier-League,Premier-League
Sandro Tonali,1,2025-09-30,CM,66,77.8,18.0,0.0,2.0,https://fbref.com/en/matches/2c75d21a/Newcastle-United-Liverpool-August-25-2025-Premier-League,Premier-League
Bruno Guimarães,1,2025-09-30,RM,90,69.0,29.0,33.3,2.0,https://fbref.com/en/matches/2c75d21a/Newcastle-United-Liverpool-August-25-2025-Premier-League,Premier-League
Valentino Livramento,1,2025-09-30,"LB,RB",90,70.3,37.0,60.0,3.0,https://fbref.com/en/matches/2c75d21a/Newcastle-United-Liverpool-August-25-2025-Premier-League,Premier-League
Dan Burn,1,2025-09-30,CB,90,58.3,24.0,60.0,2.0,https://fbref.com/en/matches/2c75d21a/Newcastle-United-Liverpool-August-25-2025-Premier-League,Premier-League
Fabian Schär,1,2025-09-30,CB,81,64.0,25.0,12.5,1.0,https://fbref.com/en/matches/2c75d21a/Newcastle-United-Liverpool-August-25-2025-Premier-League,Premier-League
Kieran Trippier,1,2025-09-30,RB,76,70.2,47.0,55.6,3.0,https://fbref.com/en/matches/2c75d21a/Newcastle-United-Liverpool-August-25-2025-Premier-League,Premier-League
Nick Pope,1,2025-09-30,GK,90,45.5,22.0,14.3,0.0,https://fbref.com/en/matches/2c75d21a/Newcastle-United-Liverpool-August-25-2025-Premier-League,Premier-League
Lewis Hall,1,2025-09-30,LB,14,42.9,7.0,0.0,1.0,https://fbref.com/en/matches/2c75d21a/Newcastle-United-Liverpool-August-25-2025-Premier-League,Premier-League
Lewis Miley,1,2025-09-30,CM,24,57.1,7.0,0.0,0.0,https://fbref.com/en/matches/2c75d21a/Newcastle-United-Liverpool-August-25-2025-Premier-League,Premier-League
William Osula,1,2025-09-30,LW,14,66.7,3.0,0.0,0.0,https://fbref.com/en/matches/2c75d21a/Newcastle-United-Liverpool-August-25-2025-Premier-League,Premier-League
Jacob Ramsey,1,2025-09-30,LM,14,88.9,9.0,0.0,1.0,https://fbref.com/en/matches/2c75d21a/Newcastle-United-Liverpool-August-25-2025-Premier-League,Premier-League
Malick Thiaw,1,2025-09-30,CB,9,66.7,6.0,0.0,1.0,https://fbref.com/en/matches/2c75d21a/Newcastle-United-Liverpool-August-25-2025-Premier-League,Premier-League
Hugo Ekitike,0,2025-09-30,FW,80,43.8,16.0,0.0,2.0,https://fbref.com/en/matches/2c75d21a/Newcastle-United-Liverpool-August-25-2025-Premier-League,Premier-League
